[etiya-devops@ip-10-94-160-62 ~]$ kubectl get service -A
NAMESPACE                    NAME                                                       TYPE           CLUSTER-IP       EXTERNAL-IP                                                           PORT(S)                                                                            AGE
em-global-prod-3pp           elasticsearch-data-hl                                      ClusterIP      None             <none>                                                                9200/TCP,9300/TCP                                                                            2d15h
em-global-prod-3pp           elasticsearch-em-glb-prod                                  ClusterIP      172.20.91.247    <none>                                                                9200/TCP,9300/TCP                                                                            2d15h
em-global-prod-3pp           elasticsearch-em-glb-prod-kibana                           ClusterIP      172.20.3.62      <none>                                                                5601/TCP                                                                            2d15h
em-global-prod-3pp           elasticsearch-ingest-hl                                    ClusterIP      None             <none>                                                                9200/TCP,9300/TCP                                                                            2d15h
em-global-prod-3pp           elasticsearch-master-hl                                    ClusterIP      None             <none>                                                                9200/TCP,9300/TCP                                                                            2d15h
em-global-prod-3pp           elasticsearch-metrics                                      ClusterIP      172.20.18.139    <none>                                                                9115/TCP                                                                            2d15h
em-global-prod-3pp           eom-castlemock                                             ClusterIP      172.20.133.66    <none>                                                                8080/TCP                                                                            107d
em-global-prod-3pp           gorules                                                    ClusterIP      172.20.151.26    <none>                                                                80/TCP                                                                            22d
em-global-prod-3pp           kafka-cluster                                              ClusterIP      172.20.189.197   <none>                                                                9092/TCP                                                                            77d
em-global-prod-3pp           kafka-cluster-em-glb-prod-zookeeper                        ClusterIP      172.20.240.14    <none>                                                                2181/TCP,2888/TCP,3888/TCP                                                                            77d
em-global-prod-3pp           kafka-cluster-em-glb-prod-zookeeper-headless               ClusterIP      None             <none>                                                                2181/TCP,2888/TCP,3888/TCP                                                                            77d
em-global-prod-3pp           kafka-cluster-headless                                     ClusterIP      None             <none>                                                                9092/TCP,9094/TCP                                                                            77d
em-global-prod-3pp           kafka-ui                                                   ClusterIP      172.20.104.238   <none>                                                                80/TCP                                                                            106d
em-global-prod-3pp           redis-sentinel                                             ClusterIP      172.20.238.128   <none>                                                                6379/TCP,26379/TCP                                                                            77d
em-global-prod-3pp           redis-sentinel-headless                                    ClusterIP      None             <none>                                                                6379/TCP,26379/TCP                                                                            77d
em-global-prod-3pp           redisinsight-ui                                            ClusterIP      172.20.206.254   <none>                                                                5000/TCP                                                                            117d
em-global-prod-eom           bss-services-service                                       ClusterIP      172.20.190.249   <none>                                                                8253/TCP,8290/TCP,9201/TCP,9164/TCP                                                                            107d
em-global-prod-eom           eom-activemqqueueoperations-em-glb-prod                    ClusterIP      172.20.27.1      <none>                                                                8080/TCP                                                                            68d
em-global-prod-eom           eom-micro-flows-em-glb-prod                                ClusterIP      172.20.174.73    <none>                                                                8080/TCP                                                                            107d
em-global-prod-eom           eom-operate-em-glb-prod                                    ClusterIP      172.20.227.142   <none>                                                                8080/TCP                                                                            107d
em-global-prod-eom           eom-postgresqldboperations-em-glb-prod                     ClusterIP      172.20.220.193   <none>                                                                8080/TCP                                                                            107d
em-global-prod-eom           eom-scheduler-em-glb-prod                                  ClusterIP      172.20.167.119   <none>                                                                8080/TCP                                                                            107d
em-global-prod-eom           eom-ui-em-glb-prod                                         ClusterIP      172.20.237.235   <none>                                                                8080/TCP                                                                            87d
em-global-prod-eom           eom-zeebe-em-glb-prod-zeebe                                ClusterIP      None             <none>                                                                9600/TCP,26502/TCP,26501/TCP                                                                            71d
em-global-prod-eom           eom-zeebe-em-glb-prod-zeebe-gateway                        ClusterIP      172.20.111.127   <none>                                                                9600/TCP,26500/TCP,8080/TCP                                                                            71d
em-global-prod-eom           external-services-service                                  ClusterIP      172.20.47.92     <none>                                                                8253/TCP,8290/TCP,9201/TCP,9164/TCP                                                                            107d
em-global-prod-eom           loyalty-services-service                                   ClusterIP      172.20.48.132    <none>                                                                8253/TCP,8290/TCP,9201/TCP,9164/TCP                                                                            107d
em-global-prod-eom           om-services-service                                        ClusterIP      172.20.137.104   <none>                                                                8253/TCP,8290/TCP,9201/TCP,9164/TCP                                                                            107d
em-global-prod-eom           wso2am-cp-1-service                                        ClusterIP      172.20.200.96    <none>                                                                9611/TCP,9711/TCP,5672/TCP,9443/TCP,9404/TCP                                                                            107d
em-global-prod-eom           wso2am-cp-2-service                                        ClusterIP      172.20.210.217   <none>                                                                9611/TCP,9711/TCP,5672/TCP,9443/TCP,9404/TCP                                                                            107d
em-global-prod-eom           wso2am-cp-service                                          ClusterIP      172.20.71.69     <none>                                                                9763/TCP,9443/TCP,9404/TCP                                                                            107d
em-global-prod-eom           wso2am-gw-service                                          ClusterIP      172.20.77.206    <none>                                                                8280/TCP,8243/TCP,9763/TCP,9443/TCP,9099/TCP,8099/TCP,9021/TCP,8021/TCP,9404/TCP                                            107d
em-global-prod-flowe         fstp-activemq-artemis-em-glb-prod                          ClusterIP      172.20.223.225   <none>                                                                8161/TCP,61616/TCP                                                                            71d
em-global-prod-flowe         fstp-bpmn-ms-em-glb-prod                                   ClusterIP      172.20.187.244   <none>                                                                8080/TCP                                                                            71d
em-global-prod-flowe         fstp-configuration-ms-em-glb-prod                          ClusterIP      172.20.110.225   <none>                                                                8080/TCP                                                                            71d
em-global-prod-flowe         fstp-dashboard-ms-em-glb-prod                              ClusterIP      172.20.238.162   <none>                                                                8080/TCP                                                                            71d
em-global-prod-flowe         fstp-eca-em-glb-prod                                       ClusterIP      172.20.240.102   <none>                                                                8080/TCP                                                                            71d
em-global-prod-flowe         fstp-frontend-em-glb-prod                                  ClusterIP      172.20.152.55    <none>                                                                8080/TCP                                                                            71d
em-global-prod-flowe         fstp-orchestra-ms-em-glb-prod                              ClusterIP      172.20.67.129    <none>                                                                8080/TCP                                                                            71d
em-global-prod-flowe         fstp-redis-em-glb-prod                                     ClusterIP      172.20.77.117    <none>                                                                8001/TCP,6379/TCP                                                                            71d
em-global-prod-flowe         fstp-scheduler-ms-em-glb-prod                              ClusterIP      172.20.131.197   <none>                                                                8080/TCP                                                                            71d
em-global-prod-flowe         fstp-selenium-grid-em-glb-prod                             ClusterIP      172.20.128.102   <none>                                                                4444/TCP,7900/TCP                                                                            71d
em-global-prod               bss-crm-batch                                              ClusterIP      172.20.48.203    <none>                                                                8080/TCP                                                                            107d
em-global-prod               bss-mc-activity                                            ClusterIP      172.20.202.11    <none>                                                                8080/TCP                                                                            106d
em-global-prod               bss-mc-asset-management                                    ClusterIP      172.20.204.4     <none>                                                                8080/TCP                                                                            106d
em-global-prod               bss-mc-b2b-objectstorage                                   ClusterIP      172.20.1.234     <none>                                                                8080/TCP                                                                            37d
em-global-prod               bss-mc-cpq                                                 ClusterIP      172.20.21.24     <none>                                                                8080/TCP                                                                            106d
em-global-prod               bss-mc-cpq-batch                                           ClusterIP      172.20.250.72    <none>                                                                8080/TCP                                                                            107d
em-global-prod               bss-mc-cpq-ntf-integrator                                  ClusterIP      172.20.160.132   <none>                                                                8080/TCP                                                                            107d
em-global-prod               bss-mc-crm-customer-information                            ClusterIP      172.20.252.229   <none>                                                                8080/TCP                                                                            107d
em-global-prod               bss-mc-crm-customer-search                                 ClusterIP      172.20.59.217    <none>                                                                8080/TCP                                                                            107d
em-global-prod               bss-mc-crm-mash-up                                         ClusterIP      172.20.60.163    <none>                                                                8080/TCP                                                                            107d
em-global-prod               bss-mc-crm-ntf-integrator                                  ClusterIP      172.20.183.194   <none>                                                                8080/TCP                                                                            106d
em-global-prod               bss-mc-crm-search-integrator                               ClusterIP      172.20.30.9      <none>                                                                8080/TCP                                                                            107d
em-global-prod               bss-mc-csr                                                 ClusterIP      172.20.121.227   <none>                                                                8080/TCP                                                                            111d
em-global-prod               bss-mc-domain-config                                       ClusterIP      172.20.121.79    <none>                                                                8080/TCP                                                                            107d
em-global-prod               bss-mc-id-service                                          ClusterIP      172.20.213.232   <none>                                                                8080/TCP                                                                            107d
em-global-prod               bss-mc-message-relay                                       ClusterIP      172.20.192.18    <none>                                                                8080/TCP                                                                            106d
em-global-prod               bss-mc-ntf-engine                                          ClusterIP      172.20.145.104   <none>                                                                8080/TCP                                                                            106d
em-global-prod               bss-mc-ntf-history                                         ClusterIP      172.20.56.4      <none>                                                                8080/TCP                                                                            106d
em-global-prod               bss-mc-pcm-cfm                                             ClusterIP      172.20.198.111   <none>                                                                8080/TCP                                                                            107d
em-global-prod               bss-mc-pcm-cms-integrator-em-glb-prod                      ClusterIP      172.20.204.46    <none>                                                                8080/TCP                                                                            106d
em-global-prod               bss-mc-pcm-next-gen-admintoolbox-config-manager            ClusterIP      172.20.241.88    <none>                                                                8080/TCP                                                                            106d
em-global-prod               bss-mc-pcm-next-gen-admintoolbox-ui                        ClusterIP      172.20.8.111     <none>                                                                8080/TCP                                                                            106d
em-global-prod               bss-mc-pcm-product-catalog                                 ClusterIP      172.20.229.246   <none>                                                                8080/TCP                                                                            106d
em-global-prod               bss-mc-pcm-product-offer-detail                            ClusterIP      172.20.85.239    <none>                                                                8080/TCP                                                                            106d
em-global-prod               bss-mc-rim                                                 ClusterIP      172.20.219.143   <none>                                                                8080/TCP                                                                            107d
em-global-prod               bss-mc-rim-ui                                              ClusterIP      172.20.123.180   <none>                                                                8080/TCP                                                                            100d
em-global-prod               bss-mc-ui-authz                                            ClusterIP      172.20.166.210   <none>                                                                8080/TCP                                                                            107d
em-global-prod               bss-mc-user-management-em-glb-prod                         ClusterIP      172.20.26.110    <none>                                                                8080/TCP                                                                            107d
em-global-prod               bss-mc-wsc-new                                             ClusterIP      172.20.6.86      <none>                                                                8080/TCP                                                                            106d
em-global-prod               bss-ntf-batch                                              ClusterIP      172.20.215.45    <none>                                                                8080/TCP                                                                            107d
em-global-prod               eca                                                        ClusterIP      172.20.80.82     <none>                                                                80/TCP,9000/TCP                                                                            105d
em-global-prod               headless-eca                                               ClusterIP      None             <none>                                                                80/TCP                                                                            105d
em-prod-3pp                  active-mq                                                  ClusterIP      172.20.57.101    <none>                                                                8161/TCP,61616/TCP,5672/TCP,61613/TCP,1883/TCP                                                                            56d
em-prod-3pp                  elasticsearch-coordinating-hl                              ClusterIP      None             <none>                                                                9200/TCP,9300/TCP                                                                            2d15h
em-prod-3pp                  elasticsearch-data-hl                                      ClusterIP      None             <none>                                                                9200/TCP,9300/TCP                                                                            2d15h
em-prod-3pp                  elasticsearch-em-prod                                      ClusterIP      172.20.209.84    <none>                                                                9200/TCP,9300/TCP                                                                            2d15h
em-prod-3pp                  elasticsearch-em-prod-kibana                               ClusterIP      172.20.82.236    <none>                                                                5601/TCP                                                                            2d15h
em-prod-3pp                  elasticsearch-ingest-hl                                    ClusterIP      None             <none>                                                                9200/TCP,9300/TCP                                                                            2d15h
em-prod-3pp                  elasticsearch-master-hl                                    ClusterIP      None             <none>                                                                9200/TCP,9300/TCP                                                                            2d15h
em-prod-3pp                  elasticsearch-metrics                                      ClusterIP      172.20.193.180   <none>                                                                9115/TCP                                                                            2d15h
em-prod-3pp                  eom-castlemock                                             ClusterIP      172.20.88.65     <none>                                                                8080/TCP                                                                            56d
em-prod-3pp                  gorules                                                    ClusterIP      172.20.141.21    <none>                                                                80/TCP                                                                            22d
em-prod-3pp                  kafka-cluster                                              ClusterIP      172.20.243.81    <none>                                                                9092/TCP                                                                            53d
em-prod-3pp                  kafka-cluster-em-prod-zookeeper                            ClusterIP      172.20.170.81    <none>                                                                2181/TCP,2888/TCP,3888/TCP                                                                            53d
em-prod-3pp                  kafka-cluster-em-prod-zookeeper-headless                   ClusterIP      None             <none>                                                                2181/TCP,2888/TCP,3888/TCP                                                                            53d
em-prod-3pp                  kafka-cluster-headless                                     ClusterIP      None             <none>                                                                9092/TCP,9094/TCP                                                                            53d
em-prod-3pp                  kafka-ui                                                   ClusterIP      172.20.85.65     <none>                                                                80/TCP                                                                            56d
em-prod-3pp                  redis-sentinel                                             ClusterIP      172.20.127.151   <none>                                                                6379/TCP,26379/TCP                                                                            56d
em-prod-3pp                  redis-sentinel-headless                                    ClusterIP      None             <none>                                                                6379/TCP,26379/TCP                                                                            56d
em-prod-3pp                  redisinsight-ui                                            ClusterIP      172.20.182.84    <none>                                                                5000/TCP                                                                            56d
em-prod-eom                  bss-services-service                                       ClusterIP      172.20.155.35    <none>                                                                8253/TCP,8290/TCP,9201/TCP,9164/TCP                                                                            56d
em-prod-eom                  eom-activemqqueueoperations-em-prod                        ClusterIP      172.20.156.31    <none>                                                                8080/TCP                                                                            56d
em-prod-eom                  eom-micro-flows-em-prod                                    ClusterIP      172.20.31.89     <none>                                                                8080/TCP                                                                            56d
em-prod-eom                  eom-operate-em-prod                                        ClusterIP      172.20.198.170   <none>                                                                8080/TCP                                                                            56d
em-prod-eom                  eom-postgresqldboperations-em-prod                         ClusterIP      172.20.139.158   <none>                                                                8080/TCP                                                                            56d
em-prod-eom                  eom-scheduler-em-prod                                      ClusterIP      172.20.169.227   <none>                                                                8080/TCP                                                                            56d
